,BandNmbr,Date_utilized,SampPos,Lattitude,Longitude,Basal_Area,Canopy,Litter,Herbac,Shrub,Tree,Bare_ground,Other,Density,Comments,Date_collected,image,MCP_ID
13,171368610,1/26/2016,MCP,30.82258507,-93.38110328,6,31,100,0,0,0,0,0,0,NA,3/21/2016,20160321_15.jpg,171368610_Jan26_MCP
14,171368610,1/26/2016,MCP,30.82250506,-93.38110832,3,25,100,0,0,0,0,0,0,NA,3/21/2016,20160321_16.jpg,171368610_Jan26_MCP
15,171368610,1/26/2016,MCP,30.82250167,-93.38099842,4,17,100,0,0,0,0,0,0,NA,3/21/2016,20160321_17.jpg,171368610_Jan26_MCP
16,171368610,1/26/2016,MCP,30.82242166,-93.38099159,6,28,100,0,0,0,0,0,15,NA,3/21/2016,20160321_18.jpg,171368610_Jan26_MCP
17,171368610,1/26/2016,MCP,30.82258832,-93.38120994,6,34,100,0,0,0,0,0,10,NA,3/21/2016,20160321_22.jpg,171368610_Jan26_MCP
18,171368610,1/26/2016,MCP,30.82267667,-93.38120329,3,28,100,0,0,0,0,0,0,NA,3/21/2016,,171368610_Jan26_MCP
19,171368610,1/26/2016,MCP,30.82295006,-93.38118998,2,15,100,0,0,0,0,0,11,NA,3/22/2016,20160322.jpg,171368610_Jan26_MCP
20,171368610,1/26/2016,MCP,30.82287005,-93.38119501,2,9,100,0,0,0,0,0,1,NA,3/22/2016,,171368610_Jan26_MCP
21,171368610,1/26/2016,MCP,30.82276996,-93.3812067,4,31,100,0,0,0,0,0,0,NA,3/22/2016,20160322_3.jpg,171368610_Jan26_MCP
22,171368610,1/26/2016,MCP,30.82241162,-93.38078672,3,18,100,0,0,0,0,0,0,NA,3/22/2016,20160322_11.jpg,171368610_Jan26_MCP
23,171368610,1/26/2016,MCP,30.82242166,-93.38091173,2,7,100,0,0,0,0,0,3,NA,3/22/2016,20160322_12.jpg,171368610_Jan26_MCP
24,171368610,1/26/2016,MCP,30.82249827,-93.38089842,2,19,80,10,0,0,0,0,1,NA,3/22/2016,20160322_13.jpg,171368610_Jan26_MCP
25,171368610,1/26/2016,MCP,30.82250661,-93.38078007,3,24,60,20,0,0,0,0,3,NA,3/22/2016,20160322_14.jpg,171368610_Jan26_MCP
26,171368610,1/26/2016,MCP,30.8226033,-93.38078672,4,31,90,10,0,0,0,0,1,NA,3/22/2016,20160322_17.jpg,171368610_Jan26_MCP
27,171368610,1/26/2016,MCP,30.8226067,-93.38089662,3,36,90,10,0,0,0,0,10,NA,3/22/2016,20160322_18.jpg,171368610_Jan26_MCP
28,171368610,1/26/2016,MCP,30.82268331,-93.38088834,4,32,100,0,0,0,0,0,1,NA,3/22/2016,20160322_19.jpg,171368610_Jan26_MCP
29,171368610,1/26/2016,MCP,30.82268671,-93.38078168,7,35,100,0,0,0,0,0,0,NA,3/22/2016,20160322_20.jpg,171368610_Jan26_MCP
30,171368610,1/26/2016,MCP,30.82277506,-93.38078168,3,26,70,30,0,0,0,0,6,NA,3/22/2016,20160322_24.jpg,171368610_Jan26_MCP
31,171368610,1/26/2016,MCP,30.8227783,-93.38088493,5,33,80,20,0,0,0,0,12,NA,3/22/2016,20160322_25.jpg,171368610_Jan26_MCP
32,171368610,1/26/2016,MCP,30.8228733,-93.38090669,5,28,100,0,0,0,0,0,3,NA,3/22/2016,20160322_26.jpg,171368610_Jan26_MCP
33,171368610,1/26/2016,MCP,30.82294836,-93.38078996,2,33,90,10,0,0,0,0,3,NA,3/22/2016,20160322_30.jpg,171368610_Jan26_MCP
34,171368610,1/26/2016,MCP,30.82295006,-93.38088673,2,20,100,0,0,0,0,0,1,NA,3/22/2016,20160322_31.jpg,171368610_Jan26_MCP
35,171368610,1/26/2016,MCP,30.8230534,-93.38090004,5,26,100,0,0,0,0,0,11,NA,3/22/2016,20160322_32.jpg,171368610_Jan26_MCP
36,171368610,1/26/2016,MCP,30.82305,-93.38080003,3,24,100,0,0,0,0,0,8,NA,3/22/2016,20160322_33.jpg,171368610_Jan26_MCP
37,171368610,1/26/2016,MCP,30.82313341,-93.38088834,2,18,100,0,0,0,0,0,0,NA,3/22/2016,Set Image,171368610_Jan26_MCP
